postal_code,lat,lon,place
78007,55.9333,23.3167,Šiauliai
79001,55.9333,23.3167,Šiauliai
85001,56.3167,22.9,Teišerskio vienk.
85007,56.2422,23.0189,Kruopiai
85010,56.15,22.8,Gimbetiškės k.
85013,56.175,22.75,Alkiškių k.
85019,56.2,22.7,Vienrankių k.
85022,56.25,22.75,Ivanauskių k.
85037,56.2318,22.8338,Kivylių k.
84001,56.2403,23.6153,Anapolio k.
84007,56.2403,23.6153,Niūraičių k.
84010,56.3592,23.25,Lepšių k.
84016,56.3592,23.25,Dilbinėlių k.
84019,56.3592,23.25,Raudondvario k.
84025,56.3072,23.3861,Taučiūnų k.
84028,56.3072,23.3861,Daunoriškės k.
84031,56.2983,23.8206,Mitkūnų k.
84034,56.2983,23.8206,Pavirčiuvės k.
84037,56.2983,23.8206,Blauzdžiūnų k.
86001,55.6339,22.9342,Kelmė
86011,55.5667,22.95,Kazankos k.
86017,55.5667,22.95,Gedvilių k.
86026,55.6031,22.6903,Gedminių k.
86036,55.7803,22.6547,Dangvietų k.
86043,55.8111,22.8831,Šaukėnai
86046,55.8111,22.8831,Užgirių k.
86052,55.642,22.8365,Naisių k.
86061,55.6,23.2,Skogalio k.
86065,55.5,23.1167,Žalpiai
83001,55.9667,23.8667,Vaigailių k.
83004,55.9333,23.95,Sitkūnų k.
83013,56.0701,23.8769,Jomantonių k.
83022,56.0042,23.6558,Dvariškių k.
83025,56.0818,23.736,Gedminių k.
83028,56.1594,23.8161,Kalnuočių k.
83031,56.2717,24.0,Jovaišių k.
83034,56.2717,24.0,Noreikių k.
83037,56.2717,24.0,Butniūnų k.
83040,56.0856,23.9725,Dvariukų k.
83046,56.0856,23.9725,Impolės k.
83052,56.0701,23.8769,Vismantėlių k.
82001,55.8167,23.5333,Radviliškis
82007,55.7667,23.7667,Šeduva
82010,55.6917,23.9333,Skapiškis
82025,55.6333,23.7167,Kemėrų k.
82028,55.6333,23.7167,Skėmių k.
82034,55.5667,23.6333,Smiltynės k.
82037,55.5833,23.6,Pašušvys
