postal_code,lat,lon,place
10118,59.4286,24.7503,Kesklinna
10119,59.4304,24.7428,Kesklinna
10120,59.4392,24.77,Kesklinna
10121,59.4314,24.7735,Kesklinna
10122,59.4274,24.7322,Kesklinna
10123,59.4383,24.7465,Kesklinna
10124,59.436,24.7653,Kesklinna
10125,59.4362,24.7753,Kesklinna
10126,59.4354,24.777,Kesklinna
10127,59.4454,24.803,Kesklinna
10128,59.4328,24.7718,Kesklinna
10129,59.4243,24.7273,Kristiine
10130,59.4365,24.7406,Kesklinna
10131,59.4238,24.7391,Kesklinna
10132,59.4269,24.7656,Kesklinna
10133,59.44,24.7461,Kesklinna
10134,59.4245,24.7483,Kesklinna
10135,59.4239,24.7499,Kesklinna
10136,59.431,24.7282,Kesklinna
10137,59.4338,24.728,Kesklinna
10138,59.4244,24.7529,Kesklinna
10139,59.4226,24.7362,Kesklinna
10140,59.4363,24.7478,Kesklinna
10141,59.4312,24.7463,Kesklinna
10142,59.4309,24.7343,Kesklinna
10143,59.4322,24.7519,Kesklinna
10144,59.4281,24.7708,Kesklinna
10145,59.4323,24.7602,Kesklinna
10146,59.4361,24.745,Kesklinna
10147,59.4338,24.7748,Kesklinna
10148,59.4363,24.7502,Kesklinna
10149,59.4357,24.7291,Põhja-Tallinna
10150,59.4378,24.7804,Kesklinna
10151,59.4394,24.7636,Kesklinna
10152,59.4386,24.7752,Kesklinna
10153,59.4362,24.7565,Kesklinna
10154,59.4401,24.7684,Kesklinna
10155,59.4409,24.7832,Kesklinna
10156,59.4417,24.7546,Kesklinna
10158,59.4473,24.7563,Kesklinna
10159,59.4423,24.7831,Kesklinna
10311,59.4464,24.6966,Põhja-Tallinna
10312,59.4515,24.6897,Põhja-Tallinna
10313,59.4536,24.6998,Põhja-Tallinna
10314,59.4527,24.6971,Põhja-Tallinna
10315,59.4477,24.6894,Põhja-Tallinna
10316,59.4431,24.6908,Põhja-Tallinna
10317,59.4433,24.7111,Põhja-Tallinna
10318,59.445,24.705,Põhja-Tallinna
10319,59.4403,24.7172,Põhja-Tallinna
10320,59.4386,24.7132,Põhja-Tallinna
10321,59.4417,24.7025,Põhja-Tallinna
10323,59.4485,24.7017,Põhja-Tallinna
10411,59.4447,24.7289,Põhja-Tallinna
10412,59.4421,24.7487,Kesklinna
10413,59.4459,24.7313,Põhja-Tallinna
10414,59.4449,24.7389,Põhja-Tallinna
10415,59.4478,24.7394,Põhja-Tallinna
10416,59.4517,24.7139,Põhja-Tallinna
10611,59.4372,24.7209,Põhja-Tallinna
10612,59.4326,24.7196,Kristiine
10613,59.4295,24.7169,Kristiine
10614,59.4358,24.7077,Põhja-Tallinna
10615,59.4255,24.7164,Kristiine
10616,59.4241,24.7041,Kristiine
10617,59.424,24.6878,Kristiine
10618,59.4252,24.6748,Haabersti
10619,59.4207,24.7029,Kristiine
10620,59.4167,24.7009,Kristiine
10621,59.418,24.6696,Haabersti
10911,59.3681,24.6597,Nõmme
10912,59.3686,24.6266,Nõmme
10913,59.3734,24.6336,Nõmme
10914,59.375,24.6418,Nõmme
10915,59.3603,24.6215,Nõmme
10916,59.3592,24.6311,Nõmme
10917,59.3664,24.6424,Nõmme
10918,59.3736,24.6648,Nõmme
10919,59.3774,24.6508,Nõmme
10920,59.371,24.6593,Nõmme
10921,59.3673,24.6507,Nõmme
10922,59.3814,24.638,Nõmme
11101,59.4193,24.8035,Lasnamäe
11211,59.3768,24.7059,Nõmme
11212,59.3795,24.7105,Nõmme
11213,59.3778,24.7164,Nõmme
11214,59.3895,24.7241,Nõmme
11215,59.3738,24.7159,Nõmme
11216,59.3732,24.7209,Nõmme
11217,59.3753,24.7427,Nõmme
11311,59.4147,24.7229,Kristiine
11312,59.4168,24.7396,Kesklinna
11313,59.4135,24.7433,Kesklinna
11314,59.4111,24.7391,Kesklinna
11315,59.4202,24.7264,Kristiine
11316,59.3933,24.7107,Nõmme
11317,59.4087,24.7351,Kesklinna
11318,59.4045,24.7327,Kesklinna
11411,59.4269,24.7948,Lasnamäe
11412,59.4277,24.7886,Lasnamäe
11413,59.4371,24.799,Kesklinna
11414,59.4307,24.8055,Lasnamäe
11415,59.4413,24.8076,Kesklinna
11416,59.4306,24.7915,Lasnamäe
11417,59.4337,24.8082,Lasnamäe
11611,59.3875,24.6704,Nõmme
11612,59.3847,24.6681,Nõmme
11613,59.3728,24.6715,Nõmme
11614,59.389,24.693,Nõmme
11615,59.3849,24.6947,Nõmme
11616,59.3799,24.6905,Nõmme
11617,59.3791,24.688,Nõmme
11618,59.3792,24.6843,Nõmme
11619,59.3797,24.678,Nõmme
11620,59.3783,24.6744,Nõmme
11621,59.3836,24.6905,Nõmme
11622,59.3868,24.6988,Nõmme
11623,59.3875,24.7085,Nõmme
11624,59.3909,24.7148,Nõmme
11625,59.3864,24.6379,Nõmme
11711,59.4574,24.6836,Põhja-Tallinna
11712,59.4604,24.6706,Põhja-Tallinna
11713,59.4539,24.6777,Põhja-Tallinna
11911,59.4697,24.8339,Pirita
11912,59.4848,24.8546,Pirita
11913,59.4815,24.8805,Pirita
11914,59.4834,24.8867,Pirita
12011,59.4558,24.8247,Pirita
12012,59.4559,24.8423,Pirita
12013,59.4563,24.8552,Pirita
12014,59.4585,24.874,Pirita
12015,59.454,24.8604,Lasnamäe
12111,59.4949,24.8336,Pirita
12112,59.491,24.8409,Pirita
12113,59.4912,24.8521,Pirita
12611,59.3972,24.6664,Mustamäe
12612,59.4011,24.669,Mustamäe
12613,59.4009,24.6637,Mustamäe
12614,59.4029,24.6609,Mustamäe
12615,59.4038,24.6564,Mustamäe
12616,59.396,24.6635,Mustamäe
12617,59.3905,24.6509,Nõmme
12618,59.3911,24.6539,Nõmme
12619,59.3953,24.6521,Mustamäe
12620,59.3969,24.6392,Haabersti
12911,59.4027,24.6752,Mustamäe
12912,59.4028,24.6822,Mustamäe
12913,59.4064,24.6863,Mustamäe
12914,59.4062,24.6754,Mustamäe
12915,59.4082,24.6721,Mustamäe
12916,59.4131,24.6967,Kristiine
12917,59.4073,24.6797,Mustamäe
12918,59.4107,24.6889,Mustamäe
12919,59.4161,24.675,Mustamäe
13411,59.3977,24.6928,Mustamäe
13412,59.4,24.6872,Mustamäe
13413,59.4069,24.7056,Mustamäe
13414,59.3973,24.6804,Mustamäe
13415,59.4032,24.7038,Mustamäe
13416,59.4046,24.6959,Mustamäe
13417,59.4163,24.7142,Kristiine
13418,59.4063,24.7098,Mustamäe
13419,59.3992,24.7001,Mustamäe
13420,59.3967,24.6839,Mustamäe
13421,59.4025,24.691,Mustamäe
13422,59.4044,24.7023,Mustamäe
13423,59.4078,24.6995,Mustamäe
13424,59.4099,24.7023,Mustamäe
13425,59.417,24.7174,Kristiine
13426,59.4225,24.7207,Kristiine
13511,59.4155,24.6515,Haabersti
13512,59.4125,24.6457,Haabersti
13513,59.4169,24.6427,Haabersti
13514,59.411,24.6507,Haabersti
13515,59.412,24.6405,Haabersti
13516,59.4381,24.5992,Haabersti
13517,59.4174,24.648,Haabersti
13518,59.4178,24.6398,Haabersti
13519,59.4045,24.6338,Haabersti
13520,59.4081,24.6372,Haabersti
13521,59.4303,24.6417,Haabersti
13522,59.4322,24.6308,Haabersti
13523,59.4364,24.5579,Haabersti
13524,59.4004,24.6264,Haabersti
13611,59.4341,24.8241,Lasnamäe
13612,59.4416,24.8341,Lasnamäe
13613,59.4367,24.825,Lasnamäe
13614,59.438,24.8293,Lasnamäe
13615,59.4382,24.8366,Lasnamäe
13616,59.4389,24.8425,Lasnamäe
13617,59.4423,24.8464,Lasnamäe
13618,59.4399,24.8178,Lasnamäe
13619,59.4417,24.8276,Lasnamäe
13620,59.4339,24.8171,Lasnamäe
13621,59.4367,24.8176,Lasnamäe
13622,59.442,24.8393,Lasnamäe
13623,59.4411,24.8277,Lasnamäe
13624,59.4373,24.8428,Lasnamäe
13625,59.4364,24.8314,Lasnamäe
13626,59.4382,24.8485,Lasnamäe
13627,59.4459,24.8429,Lasnamäe
13628,59.4478,24.8179,Lasnamäe
13629,59.4411,24.8436,Lasnamäe
13811,59.4402,24.8729,Lasnamäe
13812,59.4415,24.8807,Lasnamäe
13816,59.4434,24.8958,Lasnamäe
13817,59.4429,24.888,Lasnamäe
13911,59.4496,24.8811,Lasnamäe
13912,59.449,24.8685,Lasnamäe
13913,59.4526,24.8668,Lasnamäe
13914,59.4528,24.8871,Lasnamäe
13915,59.4507,24.8418,Lasnamäe
13916,59.449,24.8508,Lasnamäe
13917,59.4448,24.869,Lasnamäe
13918,59.4464,24.8783,Lasnamäe
13919,59.4463,24.8872,Lasnamäe
15007,59.4238,24.7721,Kesklinna
15009,59.4413,24.789,Kesklinna
15015,59.4376,24.7637,Kesklinna
15026,59.4713,24.8869,Pirita
15029,59.4343,24.7714,Kesklinna
15030,59.4331,24.7502,Kesklinna
15041,59.4318,24.7356,Kesklinna
15047,59.4329,24.7379,Kesklinna
15048,59.429,24.7375,Kesklinna
15049,59.4327,24.7544,Kesklinna
15055,59.4388,24.7473,Kesklinna
15059,59.4385,24.7454,Kesklinna
15065,59.4409,24.7475,Kesklinna
15070,59.4391,24.7495,Kesklinna
15071,59.4378,24.7394,Kesklinna
15094,59.4328,24.7505,Kesklinna
15095,59.4331,24.7497,Kesklinna
15098,59.4327,24.7318,Kesklinna
15099,59.4302,24.7514,Kesklinna
15161,59.4384,24.7403,Kesklinna
15165,59.4359,24.7374,Kesklinna
15170,59.4398,24.7842,Kesklinna
15185,59.4283,24.7355,Kesklinna
15188,59.4325,24.7364,Kesklinna
15190,59.4299,24.7407,Kesklinna
15193,59.4369,24.7413,Kesklinna
15199,59.4326,24.7441,Kesklinna
19086,59.3946,24.6705,Mustamäe
74021,59.5796,24.757,Kesklinna
74001,59.5151,24.8275,Haabneeme
74004,59.4864,24.9448,Muuga
74005,59.62,25.0301,Idaotsa
74006,59.637,25.0008,Kelnase
74007,59.6202,25.004,Lääneotsa
74008,59.4676,24.9199,Laiaküla
74009,59.546,24.8719,Leppneeme
74010,59.5175,24.848,Lubja
74011,59.531,24.8011,Pringi
74012,59.5609,24.8019,Rohuneeme
74013,59.5488,24.8009,Püünsi
74014,59.4847,24.8999,Äigrumäe
74015,59.4995,24.8213,Miiduranna
74016,59.505,24.9066,Randvere
74017,59.5319,24.8879,Tammneeme
74018,59.5495,24.8383,Kelvingi
74019,59.4933,24.8963,Metsakasti
74020,59.503,24.8596,Pärnamäe
92001,58.7033,22.5911,Emmaste
92002,58.7864,22.4918,Nurste
92003,58.78,22.6975,Jausa
92011,58.7566,22.6592,Valgu
92012,58.7035,22.496,Hindu
92013,58.7201,22.6063,Kõmmusselja
92014,58.6963,22.5409,Lepiku
92015,58.7253,22.5769,Metsalauka
92016,58.7197,22.6442,Prassi
92017,58.6988,22.5247,Pärna
92018,58.6937,22.569,Rannaküla
92019,58.7077,22.5251,Reheselja
92020,58.7125,22.5797,Riidaküla
92021,58.7421,22.5324,Külama
92022,58.7211,22.5175,Sepaste
92023,58.7011,22.5079,Sõru
92024,58.7082,22.6267,Tilga
92025,58.7141,22.4947,Tohvri
92026,58.6972,22.6046,Tärkma
92027,58.7082,22.5481,Viiri
